Distance,CP20/40,CP20/50,CP20/60,CP20/80,CP20/100,CP20/120,CP20/140,CP20/160,CP20/180,CP25/40,CP25/50,CP25/60,CP25/80,CP25/100,CP25/120,CP25/140,CP25/160,CP25/180,FH5.18/60,FH5.18/90,FH5.18/120,FH5.18/150,FH5.18/180,TP25/80,TP25/100,TP25/120,TP25/140,TP25/160,TP25/180,TP20/80,TP20/100,TP20/120,TP20/140,TP20/160,TP20/180,TP15/80,TP15/100,TP15/120,TP15/140,TP15/160,TP15/180,TP17/80,TP17/100,TP17/120,TP17/140,TP17/160,TP17/180,SP6548,SP6554,SP6560,SP6648,SP6654,SP6660,RV2.25/120,RV2.25/150,RV2.25/170,RV2.25/180,RH2.21/120,RH2.21/150,RH2.21/170,RH2.21/180,FH8.20/60,FH8.20/90,FH8.20/120,FH8.20/150,FH8.20/180,FH8.23/60,FH8.23/90,FH8.23/120,FH8.23/150,FH8.23/180,FH8.21/60,FH8.21/90,FH8.21/120,FH8.21/150,FH8.21/180
0,0.143255876,0.134936996,0.128357957,0.129986521,0.124224403,0.117485493,0.114845791,0.112848437,0.111312303,0.160688304,0.154826516,0.149869859,0.150621393,0.146009175,0.140287586,0.137754907,0.13572512,0.133100463,0.284125261,0.287520766,0.288471311,0.288835382,0.289010393,0.339650368,0.346903045,0.346617125,0.348059679,0.348952175,0.349532911,0.311138844,0.314021641,0.3181594,0.319043984,0.31958057,0.319891803,0.295940479,0.295671142,0.299259849,0.299919365,0.300276361,0.30059097,0.29699443,0.2995821,0.300147959,0.300520638,0.300925458,0.301058385,0.191280988,0.189921556,0.188801053,0.182325166,0.180692543,0.179296221,0.215319852,0.209565281,0.20576012,0.204398634,0.49617031,0.495851542,0.495169552,0.494809028,0.308483516,0.314234056,0.31608792,0.316853197,0.31723483,0.325716128,0.33364441,0.336419579,0.337618072,0.338235707,0.319321787,0.326312079,0.328676113,0.329681159,0.330195066
1,0.142636456,0.134441583,0.127932469,0.129560785,0.123846888,0.117146157,0.114517284,0.112526703,0.110995214,0.159988098,0.154247415,0.149360844,0.150116817,0.145553079,0.139872161,0.137354475,0.135333368,0.132717161,0.281513967,0.285153814,0.285861058,0.286227433,0.286403542,0.337514302,0.341945519,0.344393383,0.34583809,0.346754133,0.347335943,0.305045851,0.310323163,0.310494883,0.312665545,0.311969029,0.315993728,0.287822215,0.29224499,0.292099429,0.293975937,0.29322124,0.296971269,0.293022471,0.295588218,0.296155662,0.296515456,0.296932751,0.297059243,0.190840932,0.189489346,0.188372825,0.182007894,0.180385646,0.178996226,0.214096218,0.208355611,0.204555772,0.203195898,0.495706975,0.49540409,0.494735265,0.494387355,0.305675482,0.311389469,0.313247741,0.314061004,0.314460873,0.322968824,0.330867438,0.333649351,0.334895555,0.335531235,0.316543276,0.323500173,0.325869601,0.326922399,0.327454379
2,0.142016598,0.13394575,0.127506741,0.129135051,0.12346896,0.116806497,0.114188659,0.112204821,0.110677513,0.159287712,0.153668303,0.148851751,0.149612382,0.145096982,0.13945672,0.136953714,0.134941291,0.132333886,0.278738384,0.282246403,0.283208174,0.283576639,0.283753866,0.335271825,0.33980303,0.342288968,0.343801878,0.344703122,0.345209738,0.302416646,0.308276053,0.308081516,0.310601085,0.309545674,0.314524721,0.285383579,0.290360587,0.289868122,0.292075629,0.290979016,0.295622443,0.291019101,0.29358885,0.294152833,0.294510649,0.294928828,0.29506253,0.190394208,0.189049595,0.187937744,0.18168782,0.180075949,0.178693469,0.212892965,0.207166419,0.203372019,0.202013654,0.494749873,0.494462961,0.493807438,0.493465859,0.302734768,0.308504384,0.310366895,0.311136289,0.312050094,0.320089569,0.32804867,0.330837141,0.332041451,0.333178715,0.313632308,0.320647006,0.323021651,0.324031425,0.325071367
3,0.141396857,0.13345001,0.127081161,0.128709563,0.123091131,0.11646708,0.113860286,0.111883157,0.110360082,0.158587347,0.153089152,0.148342615,0.149107932,0.144640895,0.139041295,0.136552958,0.134549217,0.131950567,0.276092065,0.279549177,0.280516529,0.280887281,0.281065576,0.332850619,0.337404827,0.339802184,0.341229218,0.342167141,0.342729649,0.30203728,0.307261736,0.307415709,0.309610072,0.308801748,0.312854892,0.285053714,0.289433569,0.289269629,0.291171724,0.290306112,0.29406607,0.288715747,0.291279248,0.291857909,0.292217467,0.292633358,0.292759914,0.18994379,0.188606458,0.187499265,0.181364486,0.17976297,0.178387517,0.211711202,0.20599892,0.202210118,0.200853008,0.493304214,0.493032493,0.492390025,0.492047536,0.299804592,0.305583436,0.307450211,0.308112184,0.308606513,0.317218651,0.325192747,0.327987783,0.329088032,0.329816549,0.310730679,0.317757215,0.320137095,0.321040941,0.321666473
4,0.140778126,0.132955154,0.126656692,0.12828556,0.122714796,0.116129268,0.113533556,0.111563142,0.110044382,0.157887398,0.152510361,0.147834095,0.148604131,0.144185398,0.138626518,0.136152206,0.134157145,0.131567202,0.273356604,0.276787614,0.277791748,0.27816475,0.278318036,0.330626839,0.335142704,0.337618341,0.339131929,0.339963671,0.340593904,0.302803541,0.306720298,0.30766786,0.309143301,0.308927443,0.310981117,0.285791014,0.288936012,0.289522339,0.290746979,0.290439312,0.29230231,0.286087798,0.28865808,0.289233152,0.289596557,0.290012465,0.290136742,0.189489235,0.188159094,0.187056267,0.181038474,0.179447347,0.178078908,0.21055287,0.203658589,0.201071874,0.198977437,0.491364943,0.489603985,0.490478259,0.4886752,0.29684412,0.302632028,0.304502941,0.305283675,0.305662088,0.314316175,0.322305026,0.325106488,0.326323657,0.326939175,0.307798005,0.314836178,0.31722116,0.318242803,0.318753728
5,0.140157377,0.132457999,0.126229691,0.127858616,0.122335585,0.115788409,0.113203724,0.11124,0.109725528,0.157187303,0.151931133,0.147324755,0.14809949,0.143729267,0.138211073,0.135750658,0.133764265,0.131182675,0.270583131,0.274059121,0.275037472,0.275412782,0.275593074,0.328297939,0.332819882,0.335295085,0.336747545,0.337647081,0.338232853,0.303720949,0.306150485,0.308060579,0.308688816,0.309191967,0.308903633,0.286657677,0.28839643,0.289894171,0.290319672,0.290690959,0.290339017,0.283238341,0.285867493,0.286383407,0.286753107,0.287162088,0.287332116,0.189027627,0.187704739,0.186606555,0.180708128,0.179127334,0.177765834,0.209420395,0.202725726,0.199959884,0.198242968,0.489018325,0.487509066,0.488161054,0.486518915,0.293955103,0.299653764,0.301686948,0.302403573,0.30279073,0.311482091,0.319389141,0.322351842,0.323507079,0.324131402,0.304935186,0.311887512,0.314434184,0.315392646,0.315912273
6,0.139536649,0.131960905,0.125802746,0.127431836,0.121956626,0.115447792,0.112874166,0.110917217,0.109407084,0.156487685,0.151352471,0.146816231,0.147595897,0.143274056,0.137796608,0.135347731,0.133369988,0.130796671,0.267783574,0.271275115,0.272258802,0.272636429,0.272817767,0.32594431,0.330528916,0.332947141,0.334401526,0.335302442,0.335889133,0.303904759,0.305109702,0.307868687,0.30777192,0.308943541,0.306626041,0.286819705,0.287399776,0.289702577,0.289443599,0.290448957,0.288191742,0.280308543,0.282925218,0.283442676,0.28381046,0.28422355,0.284409577,0.188565152,0.187249192,0.186155638,0.180377516,0.178807063,0.177452345,0.208314305,0.203445181,0.198874557,0.198060786,0.48630724,0.487090663,0.485479122,0.486103588,0.291267593,0.296923773,0.29859867,0.29948642,0.299698355,0.308844735,0.316715103,0.319328607,0.320652667,0.321105527,0.302271504,0.309183969,0.311376405,0.31250492,0.312850997
7,0.138916072,0.131464061,0.125376127,0.127005545,0.121578273,0.11510794,0.112545372,0.11059524,0.10908945,0.155787967,0.150773675,0.146307529,0.147092226,0.142818747,0.137382062,0.134944781,0.132975691,0.130410664,0.26496537,0.268442318,0.269461284,0.269840872,0.270023321,0.323567983,0.328292285,0.330576362,0.3320327,0.332934871,0.333522636,0.302579962,0.303214017,0.306419221,0.30595517,0.307609397,0.304155301,0.285546907,0.285587445,0.288314544,0.287708078,0.289176773,0.285883732,0.276996072,0.279601617,0.280133461,0.280500947,0.280918636,0.281090899,0.188099157,0.186790471,0.185701045,0.180041082,0.178480913,0.17713325,0.207234958,0.202952359,0.197816282,0.197082635,0.483236492,0.484749893,0.482436767,0.483884217,0.288025979,0.293887277,0.295587303,0.296357538,0.296687405,0.305661037,0.313738658,0.316379369,0.317588899,0.318157593,0.299057175,0.306175656,0.308394159,0.309406381,0.309869361
8,0.138294835,0.130966458,0.124948667,0.126578397,0.121199051,0.114767211,0.112215738,0.110272428,0.108771013,0.155087812,0.150194188,0.145797831,0.146587465,0.14236246,0.136966448,0.134542531,0.132582121,0.130024829,0.262060188,0.264976955,0.26664802,0.267017071,0.266957015,0.321171259,0.325385384,0.328185026,0.329643273,0.330546892,0.331135548,0.299081282,0.300138155,0.303091425,0.302838376,0.304695784,0.301501738,0.282212896,0.28265727,0.28514659,0.284737945,0.286413436,0.28344593,0.273649866,0.276246906,0.276789388,0.27715809,0.27757748,0.277736107,0.187619745,0.186318327,0.185233727,0.179702805,0.178152831,0.176812257,0.206182358,0.200544768,0.196784902,0.195436144,0.479796188,0.479598193,0.47902388,0.478704951,0.284311845,0.290602881,0.29225918,0.293029694,0.293665729,0.302011515,0.310517492,0.313117902,0.314328614,0.31519761,0.295373301,0.302920755,0.30509704,0.306109843,0.306876222
9,0.137672781,0.130467719,0.124519981,0.126149952,0.120818399,0.114425039,0.111884693,0.10994821,0.108451157,0.154387542,0.14961429,0.145287699,0.146082197,0.14190541,0.136550048,0.134140927,0.132189225,0.129640022,0.259436751,0.263105393,0.263823216,0.264206837,0.264301835,0.318663718,0.323135531,0.325775544,0.3271448,0.328087429,0.328637801,0.292853178,0.295615503,0.29731676,0.298058604,0.299787962,0.29867904,0.27629509,0.278363523,0.279664767,0.280193557,0.281773535,0.280916973,0.270269927,0.272869333,0.273410457,0.27378189,0.274200083,0.27435482,0.187138194,0.185844427,0.184764381,0.179362686,0.177822827,0.176489368,0.205155615,0.199533501,0.195779858,0.19443251,0.476079279,0.475898956,0.475327127,0.475016422,0.282318048,0.287637579,0.289501437,0.290297638,0.290634872,0.3000515,0.307607914,0.310413989,0.311650676,0.312227121,0.293395204,0.299981297,0.302364161,0.303402705,0.303873123
